session_id,user_id,timestamp,page,device,browser,location,session_duration,event_type,referral_source,cart_abandoned,num_clicks,num_add_to_cart,num_checkout,predicted_abandoned,actual_vs_pred
s103,u129,2025-04-25 10:18:48,Cart,Mobile,Safari,USA,82,checkout,Email,0,,,3.0,0,True
s1030,u178,2025-04-25 10:53:45,Product,Mobile,Chrome,Germany,140,checkout,Organic,0,,,1.0,0,True
s1031,u151,2025-04-25 10:46:25,Home,Tablet,Firefox,UK,237,add_to_cart,Social Media,1,,1.0,,1,True
s1032,u363,2025-04-25 11:38:22,Cart,Mobile,Chrome,UK,241,add_to_cart,Organic,1,,1.0,,1,True
s1034,u134,2025-04-25 11:14:03,Cart,Tablet,Safari,India,255,click,Social Media,0,1.0,,,0,True
s1035,u76,2025-04-25 11:18:38,Payment,Tablet,Chrome,USA,284,add_to_cart,Organic,1,,1.0,,1,True
s1036,u251,2025-04-25 10:34:17,Home,Desktop,Safari,Germany,272,add_to_cart,Organic,1,,1.0,,1,True
s1037,u136,2025-04-25 10:18:05,Cart,Desktop,Chrome,UK,132,click,Social Media,0,1.0,,,0,True
s104,u403,2025-04-25 10:45:32,Product,Desktop,Safari,USA,77,checkout,Paid,0,,,1.0,0,True
s1040,u146,2025-04-25 10:36:32,Cart,Mobile,Firefox,USA,61,add_to_cart,Organic,0,,1.0,,1,False
s1042,u186,2025-04-25 10:02:29,Cart,Mobile,Chrome,USA,147,add_to_cart,Paid,1,,1.0,,1,True
s1044,u218,2025-04-25 11:15:22,Payment,Mobile,Firefox,USA,107,add_to_cart,Organic,1,,1.0,,1,True
s1045,u404,2025-04-25 10:01:39,Home,Tablet,Safari,UK,209,checkout,Organic,0,,,1.0,0,True
s1047,u199,2025-04-25 10:21:49,Product,Tablet,Firefox,UK,110,add_to_cart,Email,0,,1.0,,0,True
s1048,u250,2025-04-25 10:52:42,Product,Mobile,Firefox,India,237,add_to_cart,Email,1,,1.0,,1,True
s1050,u376,2025-04-25 11:18:32,Home,Mobile,Chrome,India,97,add_to_cart,Social Media,1,,1.0,,1,True
s1054,u330,2025-04-25 10:38:20,Product,Desktop,Chrome,USA,152,checkout,Organic,0,,,1.0,0,True
s1059,u129,2025-04-25 10:51:22,Product,Tablet,Firefox,UK,269,add_to_cart,Social Media,1,,1.0,,1,True
s106,u2,2025-04-25 11:04:20,Product,Desktop,Chrome,UK,275,add_to_cart,Email,1,,1.0,,1,True
s1062,u186,2025-04-25 11:25:00,Payment,Tablet,Firefox,India,112,add_to_cart,Paid,1,,1.0,,1,True
s1063,u276,2025-04-25 10:54:00,Home,Tablet,Firefox,India,108,add_to_cart,Social Media,1,,1.0,,1,True
s1064,u310,2025-04-25 10:34:18,Payment,Mobile,Chrome,UK,297,checkout,Paid,0,,,1.0,0,True
s1065,u340,2025-04-25 11:22:08,Product,Desktop,Firefox,India,197,add_to_cart,Email,1,,2.0,,1,True
s1067,u406,2025-04-25 10:56:38,Cart,Desktop,Chrome,UK,147,click,Paid,1,1.0,,,1,True
s1068,u341,2025-04-25 10:28:27,Payment,Mobile,Safari,UK,299,add_to_cart,Paid,1,,1.0,,1,True
s107,u171,2025-04-25 10:32:03,Payment,Mobile,Safari,India,61,add_to_cart,Social Media,1,,2.0,,1,True
s1070,u216,2025-04-25 10:50:34,Home,Tablet,Safari,Germany,118,add_to_cart,Social Media,1,,1.0,,1,True
s1072,u219,2025-04-25 10:40:20,Home,Tablet,Chrome,India,191,click,Social Media,1,2.0,,,0,False
s1073,u132,2025-04-25 10:02:47,Home,Tablet,Chrome,UK,84,click,Organic,1,3.0,,,1,True
s1074,u18,2025-04-25 11:54:33,Home,Tablet,Chrome,India,165,click,Paid,0,1.0,,,0,True
s1077,u356,2025-04-25 11:05:59,Payment,Mobile,Firefox,Germany,223,checkout,Organic,0,,,2.0,0,True
s1078,u59,2025-04-25 11:41:48,Home,Mobile,Firefox,UK,191,checkout,Organic,0,,,1.0,0,True
s108,u445,2025-04-25 10:44:34,Payment,Mobile,Chrome,UK,272,checkout,Social Media,0,,,1.0,0,True
s1080,u342,2025-04-25 10:42:06,Home,Desktop,Firefox,India,61,click,Email,0,1.0,,,0,True
s1084,u129,2025-04-25 11:15:32,Home,Tablet,Safari,India,234,checkout,Email,0,,,1.0,0,True
s1087,u118,2025-04-25 10:05:32,Product,Mobile,Chrome,Germany,60,add_to_cart,Organic,1,,2.0,,1,True
s1088,u201,2025-04-25 11:12:11,Product,Mobile,Safari,India,176,checkout,Email,0,,,1.0,0,True
s1091,u235,2025-04-25 11:29:14,Product,Tablet,Firefox,USA,108,click,Paid,0,1.0,,,0,True
s1092,u265,2025-04-25 11:24:09,Home,Mobile,Safari,UK,299,add_to_cart,Email,1,,1.0,,1,True
s1093,u478,2025-04-25 10:25:30,Product,Desktop,Firefox,USA,256,add_to_cart,Organic,1,,1.0,,1,True
s1096,u399,2025-04-25 10:01:28,Payment,Mobile,Safari,Germany,206,checkout,Email,0,,,1.0,0,True
s1097,u161,2025-04-25 10:14:18,Product,Tablet,Firefox,USA,179,add_to_cart,Organic,1,,1.0,,1,True
s1098,u147,2025-04-25 10:02:20,Payment,Desktop,Chrome,India,194,click,Paid,0,1.0,,,0,True
s11,u285,2025-04-25 11:01:03,Cart,Desktop,Chrome,USA,207,click,Paid,0,1.0,,,0,True
s110,u51,2025-04-25 10:59:40,Product,Desktop,Firefox,Germany,258,add_to_cart,Organic,1,,1.0,,1,True
s1101,u281,2025-04-25 10:11:37,Cart,Desktop,Safari,UK,114,add_to_cart,Paid,1,,1.0,,1,True
s1104,u387,2025-04-25 11:02:19,Home,Mobile,Firefox,India,164,checkout,Organic,0,,,2.0,0,True
s1105,u28,2025-04-25 11:30:47,Product,Tablet,Safari,USA,215,add_to_cart,Email,1,,1.0,,1,True
s1106,u112,2025-04-25 11:42:59,Home,Desktop,Safari,UK,119,checkout,Email,0,,,1.0,0,True
s1107,u368,2025-04-25 10:06:06,Product,Mobile,Chrome,India,189,add_to_cart,Organic,1,,1.0,,1,True
s1108,u228,2025-04-25 10:06:55,Product,Desktop,Firefox,India,87,add_to_cart,Organic,1,,2.0,,1,True
s111,u360,2025-04-25 10:14:28,Home,Mobile,Safari,USA,67,click,Email,0,1.0,,,0,True
s1111,u355,2025-04-25 11:14:54,Home,Desktop,Chrome,India,278,click,Paid,0,1.0,,,0,True
s1114,u179,2025-04-25 10:44:11,Payment,Mobile,Safari,USA,77,checkout,Paid,0,,,2.0,0,True
s1116,u152,2025-04-25 10:14:00,Payment,Desktop,Chrome,USA,66,click,Social Media,0,1.0,,,0,True
s1118,u151,2025-04-25 10:43:51,Home,Desktop,Firefox,UK,138,add_to_cart,Social Media,0,,2.0,,0,True
s1119,u358,2025-04-25 10:15:08,Payment,Mobile,Safari,India,68,add_to_cart,Social Media,1,,1.0,,1,True
s112,u118,2025-04-25 10:25:00,Home,Mobile,Firefox,USA,240,add_to_cart,Social Media,1,,3.0,,1,True
s1123,u205,2025-04-25 10:35:50,Home,Mobile,Safari,Germany,258,checkout,Paid,0,,,1.0,0,True
s1124,u228,2025-04-25 10:18:26,Product,Tablet,Safari,Germany,221,checkout,Social Media,0,,,1.0,0,True
s1126,u71,2025-04-25 10:15:46,Payment,Desktop,Safari,UK,150,click,Email,0,1.0,,,0,True
s1127,u14,2025-04-25 11:25:51,Payment,Tablet,Firefox,Germany,105,add_to_cart,Organic,1,,1.0,,1,True
s1129,u8,2025-04-25 11:15:24,Payment,Desktop,Chrome,India,178,click,Paid,0,1.0,,,0,True
s1130,u139,2025-04-25 11:22:56,Home,Desktop,Chrome,UK,252,add_to_cart,Paid,0,,1.0,,0,True
s1131,u143,2025-04-25 10:12:28,Product,Tablet,Chrome,USA,193,add_to_cart,Organic,1,,1.0,,1,True
s1132,u247,2025-04-25 10:07:07,Payment,Mobile,Safari,USA,170,checkout,Social Media,0,,,1.0,0,True
s1134,u368,2025-04-25 10:31:07,Home,Tablet,Firefox,UK,64,checkout,Email,0,,,2.0,0,True
s1136,u21,2025-04-25 10:52:27,Product,Mobile,Safari,Germany,289,click,Email,0,1.0,,,0,True
s1137,u434,2025-04-25 11:07:59,Product,Desktop,Safari,India,180,add_to_cart,Organic,1,,1.0,,1,True
s1139,u254,2025-04-25 10:06:24,Cart,Tablet,Safari,Germany,261,checkout,Email,0,,,2.0,0,True
s1141,u272,2025-04-25 11:51:35,Cart,Tablet,Chrome,USA,257,click,Email,0,1.0,,,0,True
s1142,u135,2025-04-25 11:05:14,Home,Tablet,Chrome,Germany,89,checkout,Organic,0,,,1.0,0,True
s1143,u461,2025-04-25 10:59:26,Cart,Desktop,Chrome,UK,278,add_to_cart,Email,1,,1.0,,1,True
s1144,u384,2025-04-25 11:16:12,Payment,Tablet,Chrome,UK,232,add_to_cart,Social Media,1,,1.0,,1,True
s1145,u333,2025-04-25 10:07:51,Cart,Mobile,Safari,USA,76,checkout,Email,0,,,1.0,0,True
s1149,u5,2025-04-25 10:15:16,Home,Tablet,Chrome,India,273,add_to_cart,Paid,1,,2.0,,1,True
s115,u279,2025-04-25 11:34:29,Cart,Tablet,Safari,India,65,click,Organic,0,1.0,,,0,True
s1150,u102,2025-04-25 11:37:45,Payment,Desktop,Firefox,UK,267,click,Paid,0,2.0,,,0,True
s1153,u443,2025-04-25 10:30:12,Product,Desktop,Firefox,Germany,135,click,Paid,0,1.0,,,0,True
s1154,u241,2025-04-25 10:02:38,Cart,Tablet,Chrome,Germany,252,click,Email,0,3.0,,,0,True
s1155,u280,2025-04-25 10:10:05,Home,Tablet,Firefox,Germany,132,checkout,Social Media,0,,,3.0,0,True
s1156,u32,2025-04-25 10:20:38,Home,Desktop,Safari,UK,266,checkout,Social Media,0,,,1.0,0,True
s1157,u188,2025-04-25 11:23:32,Cart,Tablet,Firefox,USA,165,checkout,Social Media,0,,,1.0,0,True
s1158,u372,2025-04-25 11:32:35,Cart,Tablet,Safari,India,113,checkout,Email,0,,,1.0,0,True
s1159,u232,2025-04-25 10:46:07,Payment,Mobile,Safari,USA,255,click,Social Media,0,1.0,,,0,True
s116,u120,2025-04-25 11:22:08,Product,Desktop,Safari,Germany,60,add_to_cart,Paid,1,,1.0,,1,True
s1160,u350,2025-04-25 11:48:12,Product,Desktop,Chrome,India,216,add_to_cart,Paid,1,,1.0,,1,True
s1161,u456,2025-04-25 11:55:10,Cart,Desktop,Safari,India,139,click,Paid,0,1.0,,,0,True
s1162,u93,2025-04-25 10:03:17,Cart,Desktop,Firefox,Germany,265,click,Social Media,0,2.0,,,0,True
s1164,u141,2025-04-25 11:21:09,Home,Desktop,Chrome,UK,66,click,Email,0,1.0,,,0,True
s1166,u41,2025-04-25 10:17:21,Cart,Desktop,Chrome,Germany,119,click,Email,1,2.0,,,1,True
s1167,u424,2025-04-25 11:52:53,Product,Tablet,Chrome,Germany,232,checkout,Paid,0,,,1.0,0,True
s1171,u81,2025-04-25 11:55:01,Cart,Mobile,Safari,India,94,click,Email,0,1.0,,,0,True
s1173,u275,2025-04-25 10:20:27,Product,Mobile,Safari,Germany,89,checkout,Paid,0,,,2.0,0,True
s1175,u243,2025-04-25 10:29:22,Payment,Mobile,Safari,USA,130,checkout,Organic,0,,,1.0,0,True
s1176,u458,2025-04-25 11:28:14,Payment,Tablet,Firefox,UK,268,add_to_cart,Paid,1,,1.0,,1,True
s118,u183,2025-04-25 10:00:48,Payment,Mobile,Firefox,UK,87,click,Email,0,1.0,,,0,True
s1180,u352,2025-04-25 10:31:12,Home,Tablet,Firefox,USA,202,add_to_cart,Social Media,0,,1.0,,0,True
s1181,u162,2025-04-25 11:15:32,Home,Mobile,Safari,Germany,287,add_to_cart,Organic,1,,1.0,,1,True
s1183,u380,2025-04-25 11:35:00,Payment,Mobile,Chrome,India,109,add_to_cart,Organic,0,,1.0,,0,True
s1184,u268,2025-04-25 10:16:05,Home,Mobile,Safari,USA,236,add_to_cart,Social Media,0,,1.0,,0,True
s1186,u305,2025-04-25 10:05:25,Home,Mobile,Safari,UK,299,add_to_cart,Paid,0,,1.0,,1,False
s1187,u114,2025-04-25 11:20:47,Product,Tablet,Chrome,Germany,71,click,Social Media,0,2.0,,,0,True
s1188,u441,2025-04-25 11:21:52,Payment,Mobile,Chrome,USA,85,click,Social Media,0,1.0,,,0,True
s1189,u345,2025-04-25 11:36:50,Payment,Mobile,Safari,India,148,checkout,Social Media,0,,,1.0,0,True
s1191,u247,2025-04-25 11:17:13,Payment,Mobile,Safari,Germany,237,click,Email,0,1.0,,,0,True
s1195,u270,2025-04-25 10:30:19,Cart,Desktop,Chrome,India,197,add_to_cart,Organic,0,,1.0,,0,True
s1198,u53,2025-04-25 10:01:00,Cart,Tablet,Safari,UK,136,checkout,Organic,0,,,1.0,0,True
s12,u391,2025-04-25 10:55:10,Home,Mobile,Firefox,USA,176,add_to_cart,Organic,1,,1.0,,1,True
s1201,u111,2025-04-25 11:51:00,Product,Mobile,Chrome,India,130,click,Paid,1,1.0,,,1,True
s1203,u59,2025-04-25 10:47:30,Cart,Mobile,Safari,USA,268,checkout,Email,0,,,1.0,0,True
s1204,u99,2025-04-25 10:14:44,Home,Desktop,Safari,India,211,click,Paid,1,1.0,,,1,True
s1205,u12,2025-04-25 10:43:12,Payment,Tablet,Firefox,UK,206,click,Social Media,0,1.0,,,0,True
s1206,u421,2025-04-25 11:50:09,Payment,Desktop,Safari,UK,239,checkout,Email,0,,,1.0,0,True
s1207,u413,2025-04-25 11:26:41,Payment,Desktop,Firefox,Germany,213,add_to_cart,Social Media,1,,1.0,,1,True
s1208,u154,2025-04-25 11:18:22,Product,Tablet,Chrome,Germany,122,add_to_cart,Email,1,,1.0,,1,True
s121,u415,2025-04-25 10:45:29,Product,Tablet,Chrome,USA,239,checkout,Organic,0,,,1.0,0,True
s1210,u217,2025-04-25 10:04:20,Home,Desktop,Chrome,USA,189,checkout,Organic,0,,,1.0,0,True
s1212,u100,2025-04-25 10:33:56,Cart,Desktop,Chrome,UK,95,add_to_cart,Organic,0,,1.0,,1,False
s1214,u297,2025-04-25 10:44:30,Payment,Desktop,Safari,UK,118,click,Email,0,2.0,,,0,True
s1217,u316,2025-04-25 10:26:41,Payment,Desktop,Chrome,UK,61,add_to_cart,Email,1,,1.0,,1,True
s1218,u263,2025-04-25 10:31:06,Cart,Mobile,Chrome,USA,149,add_to_cart,Paid,1,,1.0,,1,True
s1219,u276,2025-04-25 10:20:51,Product,Mobile,Firefox,Germany,138,add_to_cart,Email,1,,1.0,,1,True
s122,u52,2025-04-25 10:07:39,Cart,Mobile,Safari,UK,172,add_to_cart,Organic,1,,1.0,,1,True
s1220,u479,2025-04-25 11:52:11,Product,Mobile,Firefox,Germany,120,checkout,Social Media,0,,,1.0,0,True
s1223,u160,2025-04-25 10:23:39,Payment,Tablet,Firefox,USA,234,click,Email,0,1.0,,,0,True
s1224,u193,2025-04-25 10:21:03,Product,Desktop,Safari,USA,244,add_to_cart,Organic,1,,1.0,,1,True
s1225,u345,2025-04-25 11:36:01,Home,Desktop,Safari,India,162,add_to_cart,Paid,1,,1.0,,1,True
s1226,u250,2025-04-25 10:40:57,Home,Tablet,Firefox,India,244,add_to_cart,Paid,1,,1.0,,1,True
s1228,u220,2025-04-25 11:26:51,Product,Desktop,Safari,USA,278,checkout,Email,0,,,2.0,0,True
s1229,u355,2025-04-25 10:45:12,Cart,Tablet,Firefox,Germany,144,click,Organic,0,1.0,,,0,True
s123,u71,2025-04-25 10:51:08,Payment,Mobile,Chrome,USA,156,click,Organic,0,1.0,,,0,True
s1231,u194,2025-04-25 10:29:30,Cart,Desktop,Chrome,India,154,add_to_cart,Organic,1,,2.0,,1,True
s1232,u411,2025-04-25 10:01:09,Product,Mobile,Safari,UK,242,checkout,Email,0,,,1.0,0,True
s1233,u437,2025-04-25 10:55:47,Home,Desktop,Firefox,UK,70,checkout,Paid,0,,,1.0,0,True
s1235,u410,2025-04-25 11:07:32,Home,Tablet,Safari,Germany,103,add_to_cart,Email,1,,1.0,,1,True
s1239,u205,2025-04-25 10:24:44,Cart,Mobile,Chrome,Germany,113,click,Social Media,0,1.0,,,0,True
s1240,u362,2025-04-25 10:25:24,Payment,Mobile,Safari,India,173,click,Organic,0,1.0,,,0,True
s1241,u128,2025-04-25 10:41:23,Cart,Tablet,Firefox,USA,129,add_to_cart,Organic,1,,2.0,,1,True
s1243,u242,2025-04-25 11:58:24,Payment,Desktop,Chrome,Germany,213,click,Paid,0,1.0,,,0,True
s1244,u230,2025-04-25 10:23:00,Product,Desktop,Chrome,UK,274,click,Email,0,1.0,,,0,True
s1245,u324,2025-04-25 11:02:03,Payment,Desktop,Firefox,India,69,add_to_cart,Organic,1,,1.0,,1,True
s1246,u452,2025-04-25 11:07:22,Product,Desktop,Safari,Germany,176,add_to_cart,Social Media,1,,1.0,,1,True
s1247,u124,2025-04-25 11:16:53,Product,Mobile,Safari,UK,152,add_to_cart,Social Media,1,,1.0,,1,True
s1248,u326,2025-04-25 10:23:21,Product,Desktop,Firefox,Germany,129,checkout,Paid,0,,,2.0,0,True
s1249,u492,2025-04-25 11:41:02,Home,Desktop,Safari,USA,127,checkout,Organic,0,,,1.0,0,True
s125,u204,2025-04-25 10:37:40,Product,Desktop,Firefox,India,229,click,Organic,0,1.0,,,0,True
s1250,u333,2025-04-25 10:22:24,Payment,Mobile,Safari,USA,220,checkout,Paid,0,,,1.0,0,True
s1251,u307,2025-04-25 11:42:37,Payment,Desktop,Safari,USA,95,add_to_cart,Paid,1,,1.0,,1,True
s1252,u339,2025-04-25 11:34:24,Product,Mobile,Safari,UK,298,click,Organic,0,1.0,,,0,True
s1253,u481,2025-04-25 11:41:22,Home,Tablet,Chrome,Germany,176,click,Paid,0,1.0,,,0,True
s1254,u453,2025-04-25 10:11:46,Home,Mobile,Firefox,Germany,194,add_to_cart,Social Media,1,,1.0,,1,True
s1256,u458,2025-04-25 11:37:23,Product,Tablet,Safari,USA,282,click,Organic,0,1.0,,,0,True
s1258,u96,2025-04-25 10:59:16,Payment,Desktop,Chrome,UK,178,checkout,Paid,0,,,1.0,0,True
s1259,u274,2025-04-25 10:12:45,Product,Tablet,Safari,USA,103,checkout,Email,0,,,1.0,0,True
s126,u306,2025-04-25 11:49:33,Product,Tablet,Safari,UK,155,checkout,Social Media,0,,,1.0,0,True
s1260,u393,2025-04-25 10:02:08,Product,Desktop,Chrome,India,212,click,Social Media,0,1.0,,,0,True
s1261,u429,2025-04-25 11:11:49,Home,Tablet,Firefox,USA,76,add_to_cart,Email,1,,1.0,,1,True
s1262,u414,2025-04-25 11:13:28,Payment,Mobile,Firefox,UK,142,click,Organic,0,1.0,,,0,True
s1263,u430,2025-04-25 11:04:39,Product,Desktop,Firefox,UK,165,add_to_cart,Email,1,,1.0,,1,True
s1264,u347,2025-04-25 10:48:09,Cart,Mobile,Chrome,India,211,click,Paid,0,1.0,,,0,True
s1265,u431,2025-04-25 10:30:05,Payment,Mobile,Chrome,UK,74,checkout,Paid,0,,,1.0,0,True
s1267,u461,2025-04-25 11:16:16,Product,Desktop,Firefox,Germany,220,add_to_cart,Organic,1,,1.0,,1,True
s1269,u302,2025-04-25 11:05:19,Home,Tablet,Firefox,India,187,add_to_cart,Email,1,,1.0,,1,True
s127,u314,2025-04-25 10:34:11,Home,Desktop,Safari,India,173,add_to_cart,Organic,1,,1.0,,1,True
s1273,u135,2025-04-25 11:14:31,Payment,Desktop,Safari,UK,227,checkout,Email,0,,,1.0,0,True
s1276,u311,2025-04-25 11:35:40,Product,Mobile,Chrome,India,132,click,Organic,0,1.0,,,0,True
s1277,u338,2025-04-25 11:09:44,Cart,Desktop,Safari,UK,296,add_to_cart,Organic,1,,1.0,,1,True
s1278,u353,2025-04-25 10:27:24,Home,Desktop,Chrome,USA,214,click,Organic,0,1.0,,,0,True
s1279,u369,2025-04-25 10:37:50,Cart,Mobile,Chrome,USA,116,checkout,Email,0,,,1.0,0,True
s1281,u163,2025-04-25 11:37:10,Payment,Mobile,Firefox,Germany,199,click,Paid,0,1.0,,,0,True
s1282,u196,2025-04-25 11:15:48,Product,Tablet,Firefox,UK,87,add_to_cart,Social Media,1,,1.0,,1,True
s1284,u34,2025-04-25 10:28:46,Product,Tablet,Firefox,India,112,checkout,Social Media,0,,,2.0,0,True
s1285,u295,2025-04-25 10:52:51,Cart,Tablet,Firefox,UK,170,add_to_cart,Email,1,,1.0,,1,True
s1287,u157,2025-04-25 10:42:50,Home,Desktop,Chrome,USA,192,checkout,Paid,0,,,1.0,0,True
s1288,u395,2025-04-25 11:21:00,Product,Desktop,Safari,India,206,add_to_cart,Organic,1,,1.0,,1,True
s1289,u373,2025-04-25 10:05:45,Home,Mobile,Firefox,UK,110,add_to_cart,Organic,1,,1.0,,1,True
s129,u57,2025-04-25 11:54:14,Payment,Tablet,Safari,India,221,checkout,Paid,0,,,1.0,0,True
s1293,u91,2025-04-25 10:44:52,Payment,Tablet,Firefox,UK,127,checkout,Paid,0,,,1.0,0,True
s1294,u250,2025-04-25 11:16:38,Cart,Desktop,Chrome,UK,137,add_to_cart,Email,1,,1.0,,1,True
s1299,u146,2025-04-25 11:35:51,Home,Desktop,Chrome,India,226,click,Social Media,1,1.0,,,1,True
s130,u412,2025-04-25 10:27:40,Payment,Mobile,Safari,Germany,143,click,Paid,0,1.0,,,0,True
s1301,u449,2025-04-25 10:12:06,Product,Desktop,Firefox,India,185,checkout,Paid,0,,,1.0,0,True
s1302,u473,2025-04-25 10:16:54,Home,Desktop,Firefox,Germany,212,add_to_cart,Paid,1,,2.0,,1,True
s1305,u229,2025-04-25 11:31:14,Home,Tablet,Safari,USA,207,add_to_cart,Social Media,0,,1.0,,0,True
s1306,u261,2025-04-25 10:34:59,Cart,Mobile,Firefox,Germany,107,click,Paid,0,1.0,,,0,True
s1307,u120,2025-04-25 10:07:10,Home,Mobile,Firefox,Germany,85,checkout,Paid,0,,,2.0,0,True
s1308,u127,2025-04-25 10:28:05,Cart,Desktop,Safari,Germany,155,click,Social Media,0,1.0,,,0,True
s1309,u497,2025-04-25 11:18:58,Home,Desktop,Chrome,USA,167,checkout,Paid,0,,,1.0,0,True
s131,u266,2025-04-25 11:54:17,Home,Desktop,Safari,India,106,checkout,Paid,0,,,1.0,0,True
s1310,u58,2025-04-25 10:03:24,Cart,Desktop,Chrome,USA,248,click,Organic,0,1.0,,,0,True
s1315,u490,2025-04-25 10:41:14,Payment,Desktop,Safari,Germany,136,add_to_cart,Organic,1,,1.0,,1,True
s1318,u406,2025-04-25 10:44:50,Product,Tablet,Safari,India,225,checkout,Social Media,0,,,1.0,0,True
s1319,u287,2025-04-25 10:11:37,Product,Tablet,Safari,India,205,checkout,Paid,0,,,1.0,0,True
s1320,u437,2025-04-25 10:05:45,Payment,Desktop,Chrome,India,140,checkout,Email,0,,,1.0,0,True
s1322,u358,2025-04-25 10:08:49,Payment,Tablet,Chrome,Germany,206,add_to_cart,Email,1,,1.0,,1,True
s1323,u311,2025-04-25 10:11:11,Cart,Desktop,Safari,USA,127,checkout,Organic,0,,,1.0,0,True
s1325,u419,2025-04-25 10:09:50,Product,Desktop,Firefox,UK,69,click,Organic,0,1.0,,,0,True
s1326,u362,2025-04-25 10:40:21,Payment,Mobile,Safari,USA,264,checkout,Social Media,0,,,1.0,0,True
s1327,u33,2025-04-25 11:26:45,Payment,Tablet,Firefox,Germany,89,click,Organic,1,1.0,,,0,False
s1329,u178,2025-04-25 11:26:22,Cart,Mobile,Chrome,UK,244,click,Social Media,0,1.0,,,0,True
s1330,u407,2025-04-25 10:41:13,Payment,Desktop,Chrome,India,290,click,Social Media,0,1.0,,,0,True
s1331,u42,2025-04-25 11:56:17,Cart,Tablet,Safari,Germany,141,checkout,Social Media,0,,,1.0,0,True
s1332,u320,2025-04-25 10:50:22,Home,Desktop,Chrome,Germany,137,checkout,Social Media,0,,,1.0,0,True
s1334,u108,2025-04-25 11:44:42,Payment,Tablet,Safari,India,187,checkout,Email,0,,,1.0,0,True
s1337,u382,2025-04-25 10:51:15,Home,Mobile,Safari,Germany,130,checkout,Social Media,0,,,1.0,0,True
s1339,u441,2025-04-25 10:47:28,Home,Desktop,Safari,Germany,195,click,Paid,0,1.0,,,0,True
s134,u489,2025-04-25 11:38:08,Cart,Tablet,Firefox,India,242,checkout,Social Media,0,,,1.0,0,True
s1341,u185,2025-04-25 10:34:11,Home,Mobile,Safari,USA,73,add_to_cart,Email,1,,1.0,,1,True
s1342,u26,2025-04-25 11:10:48,Product,Mobile,Safari,USA,100,checkout,Social Media,0,,,1.0,0,True
s1343,u331,2025-04-25 11:47:25,Cart,Mobile,Safari,Germany,177,add_to_cart,Paid,1,,2.0,,1,True
s1344,u442,2025-04-25 10:55:13,Home,Desktop,Firefox,USA,207,checkout,Social Media,0,,,2.0,0,True
s1345,u150,2025-04-25 11:50:26,Home,Mobile,Firefox,India,92,checkout,Organic,0,,,1.0,0,True
s1346,u67,2025-04-25 10:37:30,Cart,Mobile,Safari,UK,84,click,Paid,0,1.0,,,0,True
